"Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PLXDC2",-3.92737118573564,6.63503046949169,-8.11587286393718,5.71613147631973e-05,0.0143402463471742,2.45783451206513
"CLU",-4.76398012130663,3.45730456699399,-8.73735158332441,3.44849765295827e-05,0.0129912569915056,2.95294923993692
"TSHZ3",-3.51268463554302,2.65262833178958,-8.3512923433843,4.70301582693626e-05,0.0136166303248262,2.65158110640052
"CD244",-2.83359401816714,4.10300649557843,-8.29386701977177,4.9301500152049e-05,0.0136166303248262,2.60917117236707
"ARL4A",-1.6548508908667,3.70054805864107,-5.40929324563881,0.000796980844131562,0.0413596462045111,-0.202681371500703
"KIAA1549",-4.20746277877391,2.05768095901923,-7.55233857416608,9.29711469419452e-05,0.0185422749239215,1.99279460293347
"SRGN",-3.3160014944144,8.83581704846344,-6.52781704108106,0.000243433109486366,0.0272096689356107,1.00623451578101
"SLC36A1",-2.86883553462789,4.6712686866387,-5.11807688863481,0.00111434121930106,0.0470890870530544,-0.578473034983459
"RAB38",-2.29499077305994,1.44747448033746,-5.44821874927101,0.000762726363921434,0.0405827497155983,-0.0579034355403545
"OBSL1",-5.19469007371466,0.0830797048464774,-8.90742715198669,3.01889244031376e-05,0.0129553486500286,2.8213356836126
"CDH26",-2.67818613008222,2.12192376792291,-6.96795350838716,0.000158872817647642,0.022601047058783,1.47443932427491
"ATXN1",-3.16198652336359,7.77265232155387,-6.61380485200327,0.000223590995405889,0.0259914949688114,1.0837327621586
"SH3TC1",2.07953865105562,5.32835338993042,6.07500914651164,0.000386264668405545,0.0347689475636018,0.546263900719869
"AHDC1",2.79348549573005,5.43453617365328,5.45259229090729,0.000758980438769969,0.0405827497155983,-0.159681645344362
"CFP",-3.42291596351118,1.84353174005245,-5.41928803966506,0.000788026076293516,0.0411112094912638,-0.107827616565142
"VPREB3",4.51936357150445,3.21758935484267,5.25634292226564,0.000949018644784773,0.0443813477950727,-0.303389910282466
"CGNL1",4.87479730515578,0.128719586876049,5.26241292979455,0.000942408395704406,0.0443813477950727,-0.29086271280263
"FGF13",-5.05891012671672,4.85894002215115,-5.70568251482697,0.00057327169291112,0.038141217141841,0.134014177722015
"CDKN1C",-2.63141978611065,-0.375024563201828,-5.38173572934074,0.000822258493447328,0.0416588609870084,-0.0926051802363625
"PUDP",2.03880359669695,6.08467558989247,5.16040863197635,0.00106058000235209,0.0466351041892185,-0.542244514206943
"SH3BP4",-3.78644260393876,1.40189213989522,-5.80150167391835,0.00051660648401069,0.0374737582540394,0.311325409028892
"PLVAP",3.81144373869078,1.40715245936057,6.49680426320751,0.000251064464857622,0.0277576326554272,0.986495728601714
"KLHDC7B",-4.60540874858051,-0.299711878988448,-5.55464251629129,0.000677099009975733,0.0396302972281757,0.0705538672333059
