"","ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0016627","MF","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors",59,-0.621299556164009,-1.590731443616,0.00351493848857645,0.00351493848857645,0.160061400112748,15343,"tags=51%, list=20%, signal=41%","RETSAT/LBR/FASN/ACAA1/DUS2/TECR/GCDH/DUS3L/TM7SF2/ACADVL/PTGR2/AKR1D1/PPOX/CPOX/ACOXL/DECR2/ACADS/DPYD/AKR1C1/CRAT/AKR1C2/AKR1C3/BLVRA/BLVRB/PTGR1/TBXAS1/DHCR7/PECR/CYP2S1/DHCR24"
"GO:0000727","BP","GO:0000727","double-strand break repair via break-induced replication",12,-0.821369036385862,-1.59147502482949,0.0152671755725191,0.0152671755725191,0.286156282178314,13126,"tags=92%, list=17%, signal=76%","MCM3/MUS81/MCM7/GINS2/MCM2/MCM4/MCM5/CDC45/CDC7/MCMDC2/MCM6"
"GO:0048143","BP","GO:0048143","astrocyte activation",26,-0.718561917895237,-1.59180314712503,0.00557620817843866,0.00557620817843866,0.192440232959983,12089,"tags=38%, list=15%, signal=33%","PSEN1/MAPT/IL6/IFNGR1/NAGLU/LDLR/C5AR1/APP/LRP1/GRN"
"GO:0031343","BP","GO:0031343","positive regulation of cell killing",72,-0.597788303695045,-1.59224736976342,0.0017825311942959,0.0017825311942959,0.146567851847429,11452,"tags=43%, list=15%, signal=37%","HLA-E/CRTAM/LAMP1/STAT5A/CD160/SLC22A13/ARG1/AZGP1/SLAMF6/SPI1/NECTIN2/STAT5B/ULBP3/KLRC1/CD226/PTPRC/KLRC2/NCR3/B2M/F2RL1/HLA-C/POMC/KLRD1/RAET1G/IL23R/LAG3/CD1D/ITGAM/IL18RAP/HLA-G/TYROBP"
"GO:0030222","BP","GO:0030222","eosinophil differentiation",8,-0.879744042979065,-1.59366224282618,0.00386847195357834,0.00386847195357834,0.160061400112748,2191,"tags=62%, list=3%, signal=61%","LYN/STAT5A/TRIB1/IL5RA/GATA2"
"GO:0052869","MF","GO:0052869","arachidonate omega-hydroxylase activity",5,-0.964712240471883,-1.59375831562629,0.00199203187250996,0.00199203187250996,0.146567851847429,2299,"tags=80%, list=3%, signal=78%","CYP4A11/CYP4F3/CYP4F11/CYP4F2"
"GO:0045922","BP","GO:0045922","negative regulation of fatty acid metabolic process",52,-0.63311899898383,-1.59380001115331,0.00520833333333333,0.00520833333333333,0.192440232959983,12207,"tags=33%, list=16%, signal=28%","MFSD2A/ACADVL/UBR4/ERLIN2/SLC22A13/BRCA1/AKT1/APOC3/ACACB/PLIN5/FMO1/DGAT2/ERLIN1/CYP7A1/FMO4/APOC1/TRIB3"
"GO:0062098","BP","GO:0062098","regulation of programmed necrotic cell death",41,-0.664053890570951,-1.59454399197956,0.0108695652173913,0.0108695652173913,0.25152412992247,4633,"tags=41%, list=6%, signal=39%","NUPR1/CASP8/BOK/RIPK3/RBCK1/ADPRS/BIRC2/PELI1/CASP6/CFLAR/TSPO/BIRC3/ASAH1/ZBP1/PRKN/FZD9/CAV1"
"GO:0043395","MF","GO:0043395","heparan sulfate proteoglycan binding",19,-0.751675588103726,-1.59485518702198,0.00946969696969697,0.00946969696969697,0.238183314028821,7580,"tags=53%, list=10%, signal=48%","ITGA2/PTPRC/PTPRS/LPL/PLA2G2D/AGRN/APP/LRP1/FST/AZU1"
"GO:0020027","BP","GO:0020027","hemoglobin metabolic process",19,-0.751700905549009,-1.59490890389076,0.00946969696969697,0.00946969696969697,0.238183314028821,11916,"tags=68%, list=15%, signal=58%","EIF2AK1/SLC6A9/EPB42/FECH/SLC25A37/KLF4/ABCB10/CAT/INHA/AHSP/EPO/ALAS1/INHBA"
"GO:0042361","BP","GO:0042361","menaquinone catabolic process",5,-0.965451275968933,-1.59497924340097,0.00199203187250996,0.00199203187250996,0.146567851847429,2715,"tags=100%, list=3%, signal=97%","CYP4F12/CYP4F3/CYP4F11/CYP4F2"
"GO:0061309","BP","GO:0061309","cardiac neural crest cell development involved in outflow tract morphogenesis",12,-0.823762785377135,-1.59611312483881,0.0152671755725191,0.0152671755725191,0.286156282178314,10587,"tags=58%, list=14%, signal=50%","HES1/CDC42/EDNRA/BMP4/TWIST1/SEMA3C/JAG1"
"GO:0071347","BP","GO:0071347","cellular response to interleukin-1",95,-0.584523412425528,-1.59618582230765,0.00180505415162455,0.00180505415162455,0.146567851847429,7476,"tags=35%, list=10%, signal=31%","GSDMD/KLF2/TAX1BP1/IRAK3/HES1/IL6/SFRP1/RORA/MYD88/TOLLIP/PLCB1/CCL2/ZC3H12A/IL1R2/GBP2/IL1R1/HYAL2/AKAP12/NLRP7/CXCL8/IL1RN/IL1RL2/CAMP/IL1RAP/TANK/NKX3-1/SIRPA/ZBP1/LCN2/HYAL3/CEBPB/EGR1/MMP2"
"GO:0070391","BP","GO:0070391","response to lipoteichoic acid",11,-0.837614579597908,-1.59659546132233,0.0173745173745174,0.0173745173745174,0.30046409628723,9270,"tags=64%, list=12%, signal=56%","DEFB131A/TIRAP/MAPK14/TLR2/LBP/CD36/CD14"
"GO:0071223","BP","GO:0071223","cellular response to lipoteichoic acid",11,-0.837614579597908,-1.59659546132233,0.0173745173745174,0.0173745173745174,0.30046409628723,9270,"tags=64%, list=12%, signal=56%","DEFB131A/TIRAP/MAPK14/TLR2/LBP/CD36/CD14"
"GO:0045109","BP","GO:0045109","intermediate filament organization",75,-0.593533019759563,-1.5970447172484,0.00347222222222222,0.00347222222222222,0.160061400112748,9719,"tags=32%, list=12%, signal=28%","KRT1/AGFG2/KRT71/KRT4/TCHH/KRT6B/BFSP2/BBLN/BFSP1/KRT85/SHH/VIM/DSP/KRT72/KRT79/KRT73/GFAP/KRT7/NEFH/KRT13/KRT86/PKP2/NEFL/KRT17"
"GO:1901750","BP","GO:1901750","leukotriene D4 biosynthetic process",10,-0.850697519596638,-1.59799435606477,0.0154142581888247,0.0154142581888247,0.286156282178314,2803,"tags=50%, list=4%, signal=48%","GGT6/GGTLC3/GGT7/GGTLC1/GGTLC2"
"GO:0015035","MF","GO:0015035","protein-disulfide reductase activity",35,-0.678929194792604,-1.5981498754548,0.00718132854578097,0.00718132854578097,0.216718131015334,11540,"tags=60%, list=15%, signal=51%","PGK1/CHCHD4/PDIA3/GLRX2/TXNDC2/PDIA6/GFER/TXNDC17/TMX1/PDIA5/PDIA2/ERO1A/STAB2/CLIC3/PDIA4/TXN/SCO2/QSOX1/TXNRD3/P4HB/STAB1"
"GO:1990839","BP","GO:1990839","response to endothelin",11,-0.838604215686414,-1.59848182830514,0.0154440154440154,0.0154440154440154,0.286156282178314,11608,"tags=91%, list=15%, signal=77%","KLF2/KLF15/CRK/KLF3/KLF4/EDNRB/IRS2/KLF11/KLF5/KLF1"
"GO:0002448","BP","GO:0002448","mast cell mediated immunity",56,-0.631738356864941,-1.59926366698869,0.00355871886120996,0.00355871886120996,0.160061400112748,5745,"tags=32%, list=7%, signal=30%","RAC2/FES/UNC13D/CHGA/STXBP2/CD300A/IGHE/CLNK/IL4R/STXBP1/ADORA2B/SLC18A2/FGR/RAB44/FCER1G/KIT/GATA2/FCER1A"
"GO:0019865","MF","GO:0019865","immunoglobulin binding",29,-0.701177565540204,-1.59970158038099,0.0107913669064748,0.0107913669064748,0.250649864496339,3437,"tags=38%, list=4%, signal=36%","UMOD/FCGRT/FCER2/FCAR/LGALS3/FCGR2A/FCGR2B/CD4/FCER1G/MS4A2/FCER1A"
"GO:0071622","BP","GO:0071622","regulation of granulocyte chemotaxis",53,-0.634728257730145,-1.5999075883766,0.00700525394045534,0.00700525394045534,0.216718131015334,11319,"tags=47%, list=14%, signal=40%","IL34/TRPV4/S100A7/MOSPD2/THBS4/TIRAP/MCU/JAM3/CCL2/RAC2/CSF1R/CSF1/CXCL8/CMKLR1/DAPK2/THBS1/DPP4/PTPRJ/C5AR1/PERP/LBP/BST1/C5AR2/TNFAIP6/C3AR1"
"GO:0070542","BP","GO:0070542","response to fatty acid",63,-0.615927013745352,-1.60012891019484,0.00538599640933573,0.00538599640933573,0.192440232959983,7101,"tags=43%, list=9%, signal=39%","ALAD/AKR1C1/NR1H4/PLCB1/CDK4/ZC3H12A/ACSL1/KCNK2/AKR1C2/CAT/AKR1C3/PRKCD/DGAT2/HMGCS2/LPL/GIPR/LDLR/CAMP/FFAR2/TBXAS1/ASS1/CPS1/AKR1C4/CD36/PID1/SCD/CD4"
"GO:0016860","MF","GO:0016860","intramolecular oxidoreductase activity",51,-0.639980340905736,-1.60062332613845,0.00531914893617021,0.00531914893617021,0.192440232959983,11946,"tags=45%, list=15%, signal=38%","IDI2/DDT/PDIA3/MPI/FAHD1/GLRX2/PDIA6/ECH1/ECI1/HSD3B2/TMX1/PDIA5/PDIA2/PDIA4/TPI1/QSOX1/EHHADH/TBXAS1/P4HB/GPI/HPGDS/PTGES/CYP2S1"
"GO:0045917","BP","GO:0045917","positive regulation of complement activation",8,-0.883669597490518,-1.60077341119042,0.00386847195357834,0.00386847195357834,0.160061400112748,5018,"tags=38%, list=6%, signal=35%","C3/CR1/CFP"
